Wall time,Step,Value
1639818198.6261663,0,0.056667231023311615
1639818208.968662,1,0.04491833224892616
1639818219.5978332,2,0.04259670525789261
1639818230.1169443,3,0.04111401364207268
1639818240.4170458,4,0.04034028574824333
1639818250.831987,5,0.03969257324934006
1639818261.398825,6,0.03939599543809891
1639818271.907388,7,0.03890059143304825
1639818282.4028716,8,0.038618847727775574
1639818292.266066,9,0.03811556473374367
1639818302.776102,10,0.03804326429963112
1639818312.5638597,11,0.037749990820884705
1639818322.8566058,12,0.03732868283987045
1639818333.3489153,13,0.037112168967723846
1639818343.6922717,14,0.03724036365747452
1639818354.1393173,15,0.036861393600702286
1639818364.4466064,16,0.036630693823099136
1639818374.63641,17,0.036496810615062714
1639818384.9675698,18,0.03629908710718155
1639818394.9469185,19,0.03628111258149147
1639818405.212847,20,0.03591427579522133
1639818415.64459,21,0.0359942764043808
1639818426.3624802,22,0.03591974452137947
1639818436.934325,23,0.035990193486213684
1639818452.748033,24,0.0357937254011631
1639818470.6498303,25,0.03551449254155159
1639818488.2866468,26,0.03548022359609604
1639818505.6061099,27,0.03524507209658623
1639818522.8570178,28,0.035245951265096664
1639818540.3416343,29,0.03551143407821655
1639818558.3791394,30,0.03517135605216026
1639818576.1988509,31,0.03510323539376259
1639818593.383157,32,0.03500356525182724
1639818610.9865954,33,0.034966740757226944
1639818628.7042246,34,0.03500692546367645
1639818646.49996,35,0.03510900214314461
1639818664.1955256,36,0.034739743918180466
1639818681.8232882,37,0.034755416214466095
1639818699.299424,38,0.034678392112255096
1639818716.802133,39,0.034646984189748764
1639818734.7975008,40,0.034590546041727066
1639818752.309358,41,0.034463223069906235
1639818769.8260255,42,0.03450780734419823
1639818787.4362807,43,0.03437512740492821
1639818804.9961877,44,0.03426682949066162
1639818821.4303415,45,0.03429634869098663
1639818837.9001577,46,0.03417716175317764
1639818854.5545814,47,0.034071262925863266
1639818870.3973053,48,0.03397883474826813
1639818886.5279436,49,0.03395739570260048
1639818902.159735,50,0.034001268446445465
1639818918.489944,51,0.03396220505237579
1639818935.0488784,52,0.033684536814689636
1639818951.5123088,53,0.03363959863781929
1639818967.9345176,54,0.03367821127176285
1639818984.1763875,55,0.03350184112787247
1639819000.5562031,56,0.03343341127038002
1639819016.8019178,57,0.03346958011388779
1639819032.4654686,58,0.03337598219513893
1639819048.968351,59,0.03334757313132286
1639819065.4743516,60,0.033217474818229675
1639819081.1367064,61,0.03319277614355087
1639819097.6766164,62,0.03327588737010956
1639819113.9826696,63,0.033116329461336136
1639819130.3516705,64,0.033079493790864944
1639819146.4291534,65,0.032933734357357025
1639819162.6485662,66,0.032877448946237564
1639819179.3318512,67,0.032909996807575226
1639819196.277525,68,0.032734040170907974
1639819212.9204824,69,0.032829832285642624
1639819229.247341,70,0.032657258212566376
1639819246.1027353,71,0.03269197791814804
1639819262.655169,72,0.03268268704414368
1639819279.374308,73,0.03258352726697922
1639819295.1603053,74,0.03256668150424957
1639819311.6851552,75,0.03256053850054741
1639819328.2510927,76,0.032519131898880005
1639819344.6026971,77,0.03246070444583893
1639819360.974067,78,0.03243665397167206
1639819377.6471589,79,0.032424647361040115
1639819394.1010368,80,0.03235956281423569
1639819410.0526254,81,0.032352931797504425
1639819426.9606173,82,0.032421454787254333
1639819443.7808664,83,0.03230501338839531
1639819460.4291542,84,0.032284609973430634
1639819477.2190063,85,0.0322926826775074
1639819493.6972103,86,0.03224574774503708
1639819510.3704998,87,0.03221975639462471
1639819527.0461476,88,0.03219160437583923
1639819543.7435484,89,0.032163459807634354
